Rank 26,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
472,FARMER AUTOCARE LIMITED,Edinburgh,  22.0,  3.5,Jul 25
473,WATSON-TOWERS (HOLDINGS) LIMITED,Coatbridge,  24.0,  2.9,Mar 25
474,SIGN LANGUAGE INTERACTIONS LIMITED,Glasgow,  19.2,  4.7,Dec 24
475,IQA OPERATIONS GROUP LIMITED,Edinburgh,  34.6,  1.8,Dec 24
476,IMET ALLOYS GROUP LIMITED,Livingston,  54.6,  1.1,Dec 24
477,PG PAPER COMPANY LTD.,Kilmacolm,  64.6,  1.0,Mar 25
478,KILTEARN PARTNERS LLP,Edinburgh,  14.1,  14.1,Mar 25
479,VENESKY-BROWN RECRUITMENT LTD.,Edinburgh,  95.4,  0.7,Sep 24
480,TUBE DEVELOPMENTS LIMITED,Glasgow,  25.0,  2.6,Sep 24
481,ALLIANCE WINE GROUP LIMITED,Beith,  44.0,  1.3,May 24
482,ALGO (BLAIRGOWRIE) LIMITED,Perth,  36.2,  1.6,Jun 25
483,SOUTHEAST TRADERS LIMITED,Glasgow,  48.6,  1.2,Oct 24
484,SCOTTISH LEATHER GROUP LIMITED,Bridge Of Weir,  99.5,  0.7,Mar 25
485,SYMBIOSIS PHARMACEUTICAL SERVICES LIMITED,Stirling,  19.3,  4.2,Dec 24
486,PARKLANDS LIMITED,Grantown-On-Spey,  27.4,  2.2,Dec 24
487,HFD GROUP HOLDINGS LIMITED,Glasgow,  40.1,  1.4,Jun 24
488,CKD GALBRAITH LLP,Edinburgh,  17.8,  4.9,Mar 25
489,GIBB GROUP LTD,Aberdeen,  25.6,  2.4,Dec 24
490,F.H. BERTLING LOGISTICS ABERDEEN LIMITED,Aberdeen,  46.0,  1.2,Dec 24
491,REALM CONSTRUCTION LIMITED,Lochgelly,  22.8,  2.8,Aug 24
492,CITY FACILITIES MANAGEMENT HOLDINGS LIMITED,Glasgow,"  1,240.1",  0.3,Dec 24
493,QUALITY FOOD PRODUCTS (ABERDEEN) LIMITED,Aberdeen,  34.6,  1.6,Aug 24
494,ORD INDUSTRIAL & COMMERCIAL SUPPLIES LIMITED,Muir Of Ord,  17.6,  4.8,Mar 25
495,DALTON METAL RECYCLING LIMITED,Broxburn,  40.1,  1.3,Aug 24
496,"CANON MEDICAL RESEARCH EUROPE, LIMITED",Edinburgh,  17.8,  4.6,Dec 24
497,J K R CONTRACTORS LTD.,Ellon,  33.0,  1.6,Mar 25
498,WELDEX (INTERNATIONAL) OFFSHORE LIMITED,Inverness,  23.6,  2.5,Nov 24
499,CONSARC ENGINEERING LIMITED,Motherwell,  19.0,  4.0,Dec 24
500,MCGEADY HOLDINGS LIMITED,Edinburgh,  21.4,  3.0,Mar 25
